"Dissemination Area (DA)","Province","DA Population","Residential instability Quintiles","Residential instability Scores","Ethno-cultural composition Quintiles","Ethno-cultural composition Scores","Economic dependency Quintiles","Economic dependency Scores","Situational vulnerability Quintiles","Situational vulnerability Scores"
35480041,Ontario,415,5,1.2,2,-0.656,5,0.826,5,0.729
35480042,Ontario,580,5,0.886,2,-0.72,3,0.088,4,0.126
35480043,Ontario,455,4,0.492,3,-0.462,3,0.049,5,0.805
35480045,Ontario,480,4,0.146,2,-0.642,4,0.459,5,0.881
35480046,Ontario,425,5,1.181,3,-0.496,5,0.69,5,1.35
35480047,Ontario,500,3,-0.089,2,-0.729,3,-0.088,4,0.365
35480048,Ontario,490,4,0.399,1,-0.789,3,0.103,5,0.693
35480049,Ontario,495,4,0.697,2,-0.754,3,0.06,4,0.389
35480050,Ontario,310,2,-0.634,1,-0.845,5,1.301,2,-0.567
35480051,Ontario,500,2,-0.623,2,-0.721,4,0.2,1,-0.718
35480052,Ontario,310,3,-0.048,3,-0.333,5,1.352,5,0.714
35480053,Ontario,290,4,0.439,1,-0.933,2,-0.627,5,1.058
35480054,Ontario,320,5,1.134,1,-0.863,5,1.904,5,0.743
35480055,Ontario,410,5,0.906,2,-0.688,5,1.189,3,-0.071
35480056,Ontario,500,3,-0.054,1,-0.987,2,-0.728,4,0.016
35480057,Ontario,495,4,0.551,2,-0.652,3,-0.259,3,-0.087
35480058,Ontario,490,5,2.174,3,-0.426,5,2.038,3,-0.154
35480059,Ontario,440,5,3.09,1,-0.849,5,2.517,5,0.589
35480060,Ontario,375,5,1.599,3,-0.176,2,-0.746,5,0.597
35480061,Ontario,530,5,1.824,3,-0.38,3,-0.142,5,1.332
35480062,Ontario,405,5,1.283,1,-0.794,5,0.802,3,-0.058
35480063,Ontario,540,5,2.294,3,-0.437,5,2.288,5,1.442
35480064,Ontario,455,5,0.884,2,-0.642,2,-0.406,5,1.001
35480065,Ontario,390,4,0.405,1,-0.814,4,0.482,5,0.601
35480066,Ontario,355,4,0.333,3,-0.375,3,-0.297,5,1.235
35480067,Ontario,350,5,2.3,3,-0.509,2,-0.527,5,1.168
35480068,Ontario,405,4,0.396,1,-0.862,5,0.94,4,0.426
35480069,Ontario,520,2,-0.791,1,-0.812,5,1.16,4,0.203
35480070,Ontario,360,4,0.31,2,-0.575,4,0.307,3,-0.038
35480071,Ontario,370,3,-0.203,2,-0.661,3,0.032,5,0.693
35480072,Ontario,330,4,0.594,1,-0.874,3,0.014,4,0.439
35480073,Ontario,485,4,0.379,2,-0.647,4,0.181,5,0.964
35480074,Ontario,455,3,-0.476,2,-0.766,3,-0.066,4,0.219
35480075,Ontario,440,3,-0.379,1,-0.955,4,0.527,4,0.036
35480076,Ontario,540,3,-0.392,1,-0.859,3,-0.076,5,0.453
35480077,Ontario,455,4,0.697,3,-0.127,4,0.138,5,2.278
35480078,Ontario,415,4,0.426,1,-0.876,4,0.555,4,0.249
35480079,Ontario,365,4,0.398,3,-0.275,5,0.693,5,1.325
35480080,Ontario,555,3,-0.307,2,-0.742,4,0.552,4,0.148
35480081,Ontario,575,4,0.278,2,-0.671,5,1.136,4,0.165
35480082,Ontario,605,4,0.11,2,-0.689,4,0.438,4,0.319
35480084,Ontario,465,3,-0.281,2,-0.546,2,-0.564,3,-0.028
35480085,Ontario,760,3,-0.351,1,-0.804,5,0.722,3,-0.25
35480086,Ontario,325,4,0.808,3,-0.218,2,-0.375,5,2.097
35480088,Ontario,530,4,0.322,2,-0.558,4,0.256,5,1.457
35480089,Ontario,625,3,-0.387,2,-0.722,5,1.656,2,-0.347
35480090,Ontario,640,4,0.65,2,-0.623,5,1.739,2,-0.427
35480091,Ontario,515,5,2.709,1,-0.844,5,4.016,5,0.878
35480092,Ontario,345,3,-0.163,2,-0.713,5,1.149,3,-0.249
35480095,Ontario,765,4,0.056,3,-0.495,4,0.508,5,1.013
35480096,Ontario,975,4,0.489,3,-0.354,2,-0.476,5,0.895
35480097,Ontario,415,3,-0.264,3,-0.443,2,-0.694,3,-0.274
35480098,Ontario,330,4,0.729,1,-0.908,3,0.043,4,0.333
35480099,Ontario,375,5,0.842,1,-0.825,5,1.259,4,0.034
35480100,Ontario,520,3,-0.471,3,-0.507,3,-0.074,4,0.351
35480101,Ontario,590,3,-0.294,2,-0.578,2,-0.659,2,-0.489
35480132,Ontario,515,4,0.356,2,-0.728,2,-0.639,4,0.046
35480133,Ontario,425,4,0.659,3,-0.507,3,-0.038,5,1.023
35480136,Ontario,1020,4,0.472,2,-0.708,3,0.01,5,1.187
35480137,Ontario,400,5,2.148,2,-0.683,5,2.956,4,0.215
35480138,Ontario,400,5,1.378,3,-0.372,4,0.321,4,0.138
35480139,Ontario,365,1,-0.97,1,-0.804,4,0.14,2,-0.618
35480140,Ontario,355,2,-0.704,1,-0.964,4,0.191,1,-0.705
35480142,Ontario,435,2,-0.72,1,-0.859,2,-0.439,2,-0.379
35480143,Ontario,725,2,-0.592,2,-0.718,3,0.002,3,-0.049
35480144,Ontario,655,5,1.469,1,-0.834,5,2.254,3,-0.307
35480145,Ontario,1450,3,-0.465,2,-0.624,2,-0.671,3,-0.024
35480146,Ontario,215,2,-0.729,2,-0.663,3,0.094,1,-0.761
35480175,Ontario,1515,4,0.251,2,-0.568,3,-0.124,4,0.412
35480176,Ontario,745,5,1.445,1,-0.826,5,2.568,5,0.594
35480178,Ontario,815,3,-0.097,1,-0.946,5,1.603,4,0.108
35480180,Ontario,575,2,-0.63,2,-0.723,4,0.633,4,0.347
35480181,Ontario,915,1,-1.09,2,-0.545,5,0.816,5,1.087
35480182,Ontario,1080,2,-0.632,2,-0.63,5,1.345,4,0.399
35480183,Ontario,755,3,-0.433,1,-0.801,4,0.662,4,0.084
35480184,Ontario,775,2,-0.776,2,-0.782,4,0.225,5,0.462
35480185,Ontario,600,2,-0.532,2,-0.718,5,1.191,5,0.782
35480186,Ontario,1000,3,-0.447,3,-0.425,4,0.361,4,0.381
35480187,Ontario,695,2,-0.677,2,-0.707,4,0.41,5,0.625
35480188,Ontario,530,4,0.249,1,-0.893,5,0.744,5,0.933
35480189,Ontario,660,4,0.583,2,-0.726,5,1.29,5,0.712
35480190,Ontario,640,4,0.663,2,-0.647,5,0.806,5,0.978
35480191,Ontario,505,5,2.048,2,-0.598,5,4.17,5,0.738
35480192,Ontario,530,4,0.63,1,-0.846,5,1.459,4,0.416
35480193,Ontario,620,3,-0.095,2,-0.74,4,0.293,5,1.024
35480194,Ontario,805,2,-0.634,1,-0.826,3,0.039,4,0.325
35480195,Ontario,495,3,-0.305,1,-0.829,4,0.581,4,0.392
35480196,Ontario,495,2,-0.661,2,-0.636,5,1.199,5,0.476
35480197,Ontario,485,4,0.096,2,-0.742,5,1.718,5,0.635
35480198,Ontario,460,4,0.281,2,-0.69,5,1.088,5,1.181
35480199,Ontario,645,5,1.321,2,-0.668,5,1.781,5,1.064
35480200,Ontario,1635,3,-0.465,2,-0.766,4,0.484,5,2.138
35480202,Ontario,65,3,-0.098,1,-1.309,1,-1.801,5,1.34
35480203,Ontario,555,2,-0.781,1,-0.91,3,-0.043,3,-0.09
35480204,Ontario,420,2,-0.639,1,-0.824,4,0.579,2,-0.379
35480205,Ontario,675,1,-0.876,2,-0.698,2,-0.611,2,-0.44
35480206,Ontario,620,1,-1.152,2,-0.758,5,1.124,1,-0.913
35480207,Ontario,750,1,-1.042,1,-0.857,3,-0.237,2,-0.523
35480208,Ontario,585,1,-0.844,1,-0.845,3,0.104,2,-0.554
35480209,Ontario,720,1,-0.83,1,-0.939,4,0.2,4,0.204
35480210,Ontario,235,3,-0.346,1,-0.833,5,0.745,5,0.687
35480211,Ontario,915,1,-0.937,2,-0.719,3,-0.21,4,0.019
35480212,Ontario,665,2,-0.801,1,-0.835,2,-0.474,4,0.23
35480213,Ontario,1225,1,-1.069,2,-0.762,3,0.111,3,-0.293
35480214,Ontario,635,2,-0.506,1,-0.806,3,-0.175,4,0.07
35480215,Ontario,510,3,-0.28,2,-0.66,5,0.694,5,0.593
35480216,Ontario,460,3,-0.466,1,-0.84,4,0.442,4,0.018
35480217,Ontario,540,2,-0.718,2,-0.623,5,1.054,5,1.164
35480218,Ontario,505,3,-0.459,1,-0.94,3,0.099,4,0.321
35480219,Ontario,645,3,-0.303,2,-0.773,5,1.022,4,0.315
35480220,Ontario,130,3,-0.072,2,-0.75,5,2.759,5,0.601
35480221,Ontario,290,2,-0.803,1,-0.955,3,0.001,5,0.682
35480222,Ontario,315,4,0.075,1,-1.082,5,1.953,5,0.822
35480223,Ontario,555,4,0.414,2,-0.746,5,0.839,5,1.626
35480224,Ontario,560,3,-0.236,3,-0.431,5,1.111,5,2.396
35480225,Ontario,350,4,0.213,1,-1.061,5,2,5,1.014
35480226,Ontario,385,1,-1.123,1,-0.86,4,0.36,5,0.684
35480227,Ontario,670,2,-0.821,2,-0.782,5,1.004,5,0.84
35480228,Ontario,75,2,-0.696,2,-0.558,5,1.997,5,1.613
35480229,Ontario,715,2,-0.694,3,-0.368,5,0.835,5,1.013
35480230,Ontario,590,2,-0.815,2,-0.68,4,0.246,3,-0.301
35480231,Ontario,560,2,-0.8,2,-0.657,2,-0.384,3,-0.074
35480232,Ontario,310,3,-0.421,1,-0.828,5,1.47,5,1.845
35480233,Ontario,375,2,-0.543,1,-0.856,5,1.963,5,0.485
35480234,Ontario,360,4,0.01,2,-0.778,5,0.848,5,0.965
35480235,Ontario,645,2,-0.752,1,-0.801,5,0.777,4,0.403
35480236,Ontario,915,2,-0.548,2,-0.768,3,-0.089,5,0.663
35480237,Ontario,795,1,-1.01,2,-0.533,2,-0.502,2,-0.419
35480238,Ontario,1125,1,-0.886,2,-0.532,2,-0.465,1,-0.895
35490146,Ontario,420,3,-0.18,1,-0.871,4,0.357,3,-0.254
35490147,Ontario,1260,3,-0.404,2,-0.748,3,-0.026,2,-0.53
35490148,Ontario,810,2,-0.812,1,-0.834,4,0.401,2,-0.514
35490149,Ontario,470,4,0.035,1,-0.821,4,0.463,4,0.246
35490150,Ontario,565,1,-1.201,1,-0.844,2,-0.406,2,-0.518
35490151,Ontario,410,1,-0.945,1,-0.837,4,0.507,2,-0.466
35490152,Ontario,595,2,-0.695,2,-0.779,4,0.605,3,-0.066
35490153,Ontario,575,2,-0.506,1,-0.828,4,0.647,2,-0.404
35490154,Ontario,575,2,-0.691,2,-0.662,5,1.033,4,0.035
35490155,Ontario,620,2,-0.718,2,-0.735,5,0.892,2,-0.382
35490156,Ontario,445,3,-0.113,1,-1.018,4,0.665,2,-0.334
35490157,Ontario,530,4,0.24,1,-0.831,5,0.897,3,-0.116
35490158,Ontario,610,1,-0.948,2,-0.713,4,0.499,3,-0.239
35490159,Ontario,625,2,-0.503,2,-0.567,4,0.251,4,0.158
35490160,Ontario,350,3,-0.233,1,-0.845,4,0.602,4,0.276
35490161,Ontario,135,4,0.45,3,-0.5,5,0.927,5,0.865
35490162,Ontario,460,3,-0.286,1,-0.828,5,0.875,3,-0.179
35490163,Ontario,625,4,-0.021,2,-0.72,5,1.094,5,0.686
35490164,Ontario,470,4,0.177,2,-0.689,5,1.112,5,1.104
35490165,Ontario,495,3,-0.326,2,-0.768,4,0.444,5,0.794
35490166,Ontario,515,2,-0.502,1,-0.806,5,1.732,2,-0.479
35490167,Ontario,410,4,0.26,2,-0.737,5,1.95,3,-0.256
35490168,Ontario,610,2,-0.63,2,-0.719,5,0.854,4,0.002
35490169,Ontario,460,3,-0.317,2,-0.769,5,1.76,3,-0.153
35490170,Ontario,480,2,-0.503,2,-0.726,5,2.499,3,-0.303
35490171,Ontario,400,4,0.35,1,-0.842,4,0.625,4,0.086
35490172,Ontario,615,4,0.476,3,-0.505,3,-0.058,5,0.784
35490173,Ontario,470,2,-0.719,2,-0.625,5,1.09,5,0.461
35490174,Ontario,495,2,-0.563,2,-0.653,5,1.002,3,-0.029
35490175,Ontario,555,3,-0.19,2,-0.669,4,0.499,4,0.319
35490176,Ontario,675,3,-0.175,2,-0.679,4,0.547,4,0.419
35490177,Ontario,655,3,-0.383,2,-0.693,4,0.609,4,0.235
35490178,Ontario,745,2,-0.716,2,-0.742,5,1.6,3,-0.261
35490179,Ontario,915,3,-0.241,1,-0.883,5,1.16,3,-0.126
35490180,Ontario,235,3,-0.466,3,-0.524,5,1.858,5,0.473
35490181,Ontario,480,3,-0.279,1,-0.855,5,1.064,3,-0.028
35490182,Ontario,420,2,-0.645,2,-0.731,5,1.569,4,0.194
35490183,Ontario,740,3,-0.255,2,-0.665,5,1.001,3,-0.139
35490184,Ontario,610,2,-0.495,2,-0.631,5,1.499,5,0.581
35490185,Ontario,470,3,-0.248,1,-0.883,5,0.975,4,0.097
35490186,Ontario,660,3,-0.129,1,-0.82,5,2.724,4,0.07
35490187,Ontario,535,2,-0.684,2,-0.649,5,2.11,3,-0.181
35490188,Ontario,500,3,-0.362,1,-0.863,5,1.365,3,-0.238
35490189,Ontario,390,1,-0.952,1,-0.798,5,1.837,1,-0.992
35490190,Ontario,495,3,-0.392,1,-0.831,5,1.061,3,-0.202
35490191,Ontario,910,2,-0.821,2,-0.689,5,2.222,1,-0.698
35490192,Ontario,495,3,-0.478,2,-0.766,4,0.494,3,-0.12
35490193,Ontario,565,1,-0.886,2,-0.725,4,0.158,1,-0.652
35490194,Ontario,400,4,0.703,1,-0.885,5,2.073,2,-0.567
35490195,Ontario,735,4,0.669,2,-0.693,4,0.391,4,0.382
35490196,Ontario,810,3,-0.288,2,-0.786,4,0.334,5,0.544
35490197,Ontario,505,5,0.93,1,-0.826,3,-0.037,4,0.177
35490198,Ontario,505,4,0.451,2,-0.765,5,1.256,5,0.622
35490199,Ontario,400,4,0.664,3,-0.152,4,0.322,5,0.953
35490200,Ontario,390,5,0.951,3,-0.336,4,0.529,5,2.14
35490201,Ontario,465,4,0.768,2,-0.71,5,1.64,3,-0.105
35490202,Ontario,540,5,1.812,4,0.134,4,0.377,5,0.692
35490203,Ontario,430,4,0.239,1,-0.823,4,0.471,3,-0.224
35490204,Ontario,485,5,1.292,2,-0.578,4,0.206,5,0.845
35490205,Ontario,785,4,0.294,3,-0.323,5,1.558,4,0.061
35490206,Ontario,640,2,-0.806,1,-0.82,4,0.19,4,0.046
35490207,Ontario,370,2,-0.575,2,-0.618,4,0.145,5,4.418
35490209,Ontario,880,3,-0.422,2,-0.735,5,0.902,3,-0.313
35490213,Ontario,155,4,0.147,2,-0.775,4,0.145,5,5.131
35490215,Ontario,345,3,-0.16,1,-0.837,5,2.241,4,0.348
35490216,Ontario,100,4,0.574,3,-0.477,4,0.543,5,4.744
35490217,Ontario,625,3,-0.436,2,-0.711,5,2.619,3,-0.303
35490218,Ontario,135,4,0.008,3,-0.499,3,-0.047,5,4.732
35490221,Ontario,195,3,-0.289,1,-0.968,5,1.061,5,3.101
35490222,Ontario,885,3,-0.319,1,-0.809,5,1.695,3,-0.052
35490223,Ontario,590,3,-0.108,1,-0.981,5,2.173,3,-0.164
35490224,Ontario,570,2,-0.583,2,-0.787,5,2.007,1,-0.655
35490225,Ontario,540,2,-0.726,2,-0.78,4,0.42,4,0.19
35490226,Ontario,740,3,-0.341,2,-0.693,4,0.645,4,0.124
35490227,Ontario,650,2,-0.775,2,-0.732,4,0.508,1,-0.869
35490228,Ontario,825,3,-0.068,1,-0.854,5,1.28,3,-0.014
35490229,Ontario,795,2,-0.678,2,-0.639,5,0.878,1,-0.931
35490230,Ontario,615,3,-0.477,2,-0.684,4,0.572,2,-0.593
35490231,Ontario,600,2,-0.821,1,-0.846,5,0.746,2,-0.485
35490232,Ontario,755,1,-0.842,1,-0.844,2,-0.339,2,-0.536
35490233,Ontario,540,3,-0.124,1,-0.865,3,-0.052,3,-0.045
35510070,Ontario,620,2,-0.582,1,-0.896,5,0.908,3,-0.148
35510071,Ontario,460,3,-0.29,2,-0.585,4,0.295,5,3.355
35510072,Ontario,600,3,-0.084,1,-0.879,5,1.027,3,-0.263
35510073,Ontario,440,4,0.199,2,-0.766,4,0.412,4,0.133
35510074,Ontario,475,4,0.014,1,-0.847,4,0.353,5,0.914
35510075,Ontario,455,2,-0.805,1,-0.923,4,0.665,3,-0.014
35510076,Ontario,370,3,-0.4,2,-0.767,3,-0.018,5,3.751
35510077,Ontario,155,3,-0.179,2,-0.607,3,-0.077,5,5.005
35510078,Ontario,490,1,-0.987,2,-0.726,5,0.805,4,0.182
35510079,Ontario,495,3,-0.277,1,-0.868,4,0.59,4,0.225
35510080,Ontario,805,3,-0.148,3,-0.445,3,0.112,5,4.401
35510081,Ontario,460,3,-0.17,2,-0.573,4,0.27,5,4.608
35510082,Ontario,415,4,0.243,3,-0.342,4,0.473,5,5.475
35510083,Ontario,520,4,0.261,3,-0.502,3,-0.041,5,4.546
35510084,Ontario,460,3,-0.377,2,-0.645,5,0.692,5,4.867
35510085,Ontario,495,2,-0.515,2,-0.72,5,1.307,3,-0.136
35510086,Ontario,525,3,-0.268,1,-0.928,5,1.656,2,-0.384
35510087,Ontario,525,4,0.115,1,-0.836,5,0.891,4,0.059
35510088,Ontario,545,3,-0.478,1,-0.824,5,2.925,2,-0.443
35510089,Ontario,585,3,-0.08,1,-0.869,5,1.089,4,0.29
35510091,Ontario,410,2,-0.756,3,-0.518,5,1.73,4,0.374
35510093,Ontario,310,3,-0.07,1,-0.971,2,-0.345,4,0.292
35510094,Ontario,520,5,0.917,2,-0.635,5,0.98,4,0.432
35510095,Ontario,720,2,-0.68,2,-0.782,5,1.337,4,0.143
35510096,Ontario,930,3,-0.212,2,-0.647,5,0.712,5,3.716
35510099,Ontario,195,4,0.489,1,-0.846,5,1.42,4,0.163
35510100,Ontario,130,4,0.236,1,-0.806,3,-0.024,5,3.918
35510106,Ontario,525,3,-0.48,1,-0.867,5,1.774,3,-0.305
35520083,Ontario,375,1,-0.971,1,-0.817,5,1.954,4,0.303
35520084,Ontario,210,3,-0.204,2,-0.667,3,-0.271,5,4.456
35520085,Ontario,275,2,-0.716,1,-0.958,5,2.073,5,0.563
35520086,Ontario,350,3,-0.484,1,-0.924,5,0.968,5,1.113
35520088,Ontario,155,4,0.187,4,0.011,4,0.635,5,6.193
35520091,Ontario,315,3,-0.066,1,-1.029,4,0.29,4,0.193
35520092,Ontario,315,4,0.354,2,-0.708,4,0.639,5,1.054
35520093,Ontario,240,4,0.207,2,-0.784,5,1.864,5,0.72
35520094,Ontario,375,1,-0.937,1,-0.844,3,-0.157,4,0.031
35520096,Ontario,290,3,-0.15,1,-0.878,3,-0.11,5,1.714
35520098,Ontario,420,1,-0.901,2,-0.572,5,1.577,4,0.266
35520099,Ontario,545,2,-0.512,2,-0.696,5,0.786,5,1.743
35520100,Ontario,665,3,-0.464,2,-0.768,5,1.479,5,1.123
35520101,Ontario,690,1,-0.947,1,-0.846,5,0.715,4,0.278
35520102,Ontario,465,3,-0.041,2,-0.76,4,0.386,5,1.205
35520103,Ontario,445,3,-0.374,2,-0.655,5,0.785,5,1.361
35520104,Ontario,560,2,-0.722,1,-0.799,4,0.161,3,-0.227
35520105,Ontario,425,1,-0.901,2,-0.731,5,0.701,4,0.116
35520106,Ontario,375,4,0.411,1,-0.822,5,1.713,4,0.317
35520107,Ontario,475,3,-0.232,2,-0.743,4,0.64,5,0.906
35520108,Ontario,495,3,-0.186,3,-0.303,5,0.963,5,0.493
35520109,Ontario,485,3,-0.048,3,-0.431,5,0.87,5,0.519
35520110,Ontario,445,4,0.19,2,-0.702,4,0.607,5,0.861
35520111,Ontario,415,2,-0.541,1,-0.979,5,0.825,4,0.065
35520112,Ontario,465,2,-0.638,1,-0.953,4,0.242,4,0.274
35520113,Ontario,480,4,0.195,1,-0.794,4,0.438,5,0.613
35520114,Ontario,475,4,0.063,2,-0.661,5,0.691,5,0.462
35520115,Ontario,445,2,-0.719,1,-0.905,5,0.94,1,-0.665
35520117,Ontario,390,3,-0.466,2,-0.677,3,-0.14,5,0.568
35520118,Ontario,550,2,-0.724,2,-0.768,5,1.383,3,-0.097
35520119,Ontario,505,2,-0.709,2,-0.579,5,0.785,5,1.078
35520120,Ontario,1085,2,-0.789,1,-0.799,4,0.328,4,0.286
35520121,Ontario,410,2,-0.686,3,-0.43,3,-0.308,5,3.822
35520122,Ontario,500,4,-0.011,1,-0.894,5,0.803,5,0.521
35520123,Ontario,420,1,-0.878,1,-0.896,5,1.479,3,-0.117
35520124,Ontario,415,3,-0.432,1,-0.808,5,1.621,4,0.439
35520125,Ontario,505,2,-0.5,2,-0.685,3,-0.111,5,0.641
35520126,Ontario,525,3,-0.452,2,-0.657,5,1.66,4,0.056
35520127,Ontario,500,3,-0.278,1,-0.824,5,1.844,4,0.118
35520128,Ontario,470,1,-0.995,2,-0.753,5,2.061,4,0.208
35520129,Ontario,395,4,0.278,2,-0.777,3,0.005,5,0.883
35520130,Ontario,480,3,-0.218,2,-0.771,4,0.678,5,0.886
35520131,Ontario,710,2,-0.778,2,-0.715,4,0.442,5,0.49
35520132,Ontario,525,3,-0.454,2,-0.736,2,-0.519,5,0.699
35520133,Ontario,510,3,-0.062,2,-0.708,5,0.757,5,0.952
35520134,Ontario,450,2,-0.726,2,-0.74,2,-0.553,5,0.777
35520137,Ontario,310,2,-0.533,1,-1.086,5,1.833,5,0.945
35520138,Ontario,335,3,-0.258,1,-1.092,5,1.59,4,0.289
35520140,Ontario,365,1,-0.84,2,-0.779,2,-0.334,5,0.774
35520142,Ontario,65,2,-0.76,1,-1.062,3,-0.277,5,2.088
35530032,Ontario,370,3,-0.317,2,-0.617,4,0.204,5,0.506
35530034,Ontario,560,2,-0.536,3,-0.405,4,0.394,4,0.054
35530036,Ontario,775,3,-0.335,2,-0.676,4,0.425,4,0.182
35530037,Ontario,430,2,-0.54,2,-0.558,4,0.118,4,0.021
35530038,Ontario,355,5,1.382,2,-0.558,2,-0.465,5,1.588
35530039,Ontario,275,3,-0.27,2,-0.689,2,-0.442,4,0.436
35530040,Ontario,430,3,-0.393,2,-0.612,1,-0.828,4,-0.006
35530041,Ontario,455,2,-0.622,2,-0.621,3,-0.068,3,-0.219
35530042,Ontario,360,3,-0.198,1,-0.789,4,0.388,5,0.489
35530043,Ontario,445,3,-0.448,4,-0.004,3,0.084,3,-0.023
35530044,Ontario,540,4,-0.008,3,-0.351,3,0.083,5,1.789
35530045,Ontario,395,2,-0.653,2,-0.736,4,0.499,3,-0.31
35530046,Ontario,715,4,0.434,2,-0.671,4,0.277,4,0.101
35530047,Ontario,410,4,0.504,2,-0.749,4,0.118,4,0.307
35530049,Ontario,485,3,-0.199,3,-0.347,2,-0.312,4,0.191
35530050,Ontario,360,2,-0.785,1,-0.863,2,-0.576,4,0.38
35530051,Ontario,410,5,1.271,3,-0.377,5,1.48,5,0.865
35530052,Ontario,1115,1,-0.837,2,-0.678,2,-0.494,3,-0.131
35530053,Ontario,285,3,-0.072,2,-0.688,4,0.41,4,0.161
35530054,Ontario,415,4,-0.014,1,-0.84,3,-0.151,4,0.03
35530055,Ontario,325,3,-0.37,3,-0.438,5,0.888,5,0.739
35530056,Ontario,330,1,-1,2,-0.71,5,0.819,2,-0.398
35530057,Ontario,490,5,1.501,2,-0.552,5,2.454,1,-0.753
35530058,Ontario,795,4,0.521,3,-0.276,4,0.295,5,1.481
35530062,Ontario,290,4,0.214,2,-0.608,2,-0.361,5,1.054
35530063,Ontario,700,4,0.274,2,-0.688,3,-0.001,5,0.815
35530064,Ontario,420,5,1.772,2,-0.636,2,-0.338,5,0.506
35530065,Ontario,375,5,2.171,3,-0.467,4,0.327,5,1.006
35530066,Ontario,505,5,3.287,2,-0.778,5,1.243,5,1.244
35530067,Ontario,310,5,1.52,3,-0.25,4,0.214,5,1.329
35530068,Ontario,365,5,2.729,4,-0.085,5,2.07,5,1.368
35530069,Ontario,925,5,2.152,5,0.876,5,0.968,5,0.992
35530072,Ontario,535,5,1.378,3,-0.443,2,-0.616,5,1.19
35530075,Ontario,300,5,1.889,3,-0.393,4,0.36,5,0.96
35530076,Ontario,480,5,0.941,2,-0.548,3,0.016,5,0.914
35530077,Ontario,515,5,1.703,2,-0.614,2,-0.572,5,1.034
35530079,Ontario,630,5,1.475,2,-0.548,1,-0.965,5,0.811
35530081,Ontario,535,5,2.602,2,-0.63,5,1.609,5,0.606
35530082,Ontario,590,5,2.019,3,-0.231,1,-0.852,5,1.404
35530083,Ontario,520,5,2.358,2,-0.669,2,-0.59,4,0.253
35530084,Ontario,480,5,1.138,3,-0.291,2,-0.343,5,0.793
35530085,Ontario,405,5,1.034,3,-0.505,3,-0.113,5,2.07
35530086,Ontario,450,4,0.306,2,-0.743,4,0.21,5,0.845
35530087,Ontario,610,4,0.66,2,-0.679,4,0.567,5,0.491
35530088,Ontario,425,5,1.224,2,-0.656,2,-0.687,5,1.229
35530089,Ontario,450,5,1.754,3,-0.419,3,0.022,5,1.569
35530090,Ontario,350,5,1.92,2,-0.534,4,0.498,5,1.427
35530091,Ontario,510,5,1.076,3,-0.448,4,0.551,5,1.616
35530092,Ontario,335,4,0.485,2,-0.626,3,0.084,5,0.683
35530093,Ontario,840,5,1.524,4,0.058,4,0.18,5,1.745
35530094,Ontario,470,4,0.053,3,-0.436,3,-0.056,5,0.745
35530095,Ontario,220,5,4.046,1,-1.124,5,3.674,5,1.666
35530096,Ontario,910,5,1.655,5,1.086,3,0.084,5,1.233
35530097,Ontario,880,5,1.156,4,0.278,3,-0.236,5,1.83
35530099,Ontario,590,4,-0.003,4,-0.07,3,-0.213,4,0.427
35530102,Ontario,415,3,-0.401,2,-0.574,4,0.139,3,-0.29
35530103,Ontario,430,4,0.712,3,-0.284,4,0.196,4,0.361
35530104,Ontario,485,5,2.027,3,-0.45,1,-1.005,4,0.25
35530105,Ontario,765,3,-0.18,2,-0.54,3,-0.09,3,-0.143
35530106,Ontario,630,3,-0.266,1,-0.843,5,1.018,1,-0.646
35530107,Ontario,450,2,-0.711,2,-0.781,4,0.243,4,0.321
35530108,Ontario,325,2,-0.807,1,-0.821,5,1.117,2,-0.369
35530109,Ontario,655,5,1.397,3,-0.389,3,0.028,5,0.458
35530110,Ontario,290,3,-0.199,2,-0.669,4,0.537,4,0.124
35530111,Ontario,490,3,-0.236,3,-0.286,4,0.624,4,0.397
35530114,Ontario,585,4,0.655,3,-0.221,4,0.64,5,0.813
35530115,Ontario,405,3,-0.392,2,-0.674,4,0.497,3,-0.186
35530116,Ontario,450,5,1.653,2,-0.633,5,2.692,5,0.483
35530117,Ontario,465,2,-0.584,1,-0.809,4,0.37,2,-0.436
35530118,Ontario,450,2,-0.668,2,-0.667,4,0.131,3,-0.118
35530119,Ontario,320,2,-0.693,3,-0.5,4,0.546,1,-0.703
35530121,Ontario,585,4,0.52,2,-0.669,5,1.468,3,-0.325
35530123,Ontario,395,5,0.872,3,-0.289,3,0.039,4,0.351
35530124,Ontario,570,4,0.165,2,-0.662,3,-0.27,5,0.508
35530125,Ontario,1385,1,-0.841,2,-0.548,3,-0.303,2,-0.372
35530126,Ontario,475,3,-0.475,3,-0.469,2,-0.368,4,0.254
35530127,Ontario,690,4,0.573,4,0.623,4,0.186,5,2.247
35530129,Ontario,395,3,-0.26,3,-0.528,4,0.183,5,0.874
35530134,Ontario,440,5,1.385,3,-0.321,4,0.198,5,0.54
35530135,Ontario,520,5,1.845,3,-0.147,3,-0.291,5,1.264
35530137,Ontario,610,5,1.141,3,-0.504,3,0.042,4,0.376
35530138,Ontario,310,4,0.533,1,-0.879,3,-0.147,3,-0.179
35530139,Ontario,775,5,1.13,3,-0.282,5,1.377,5,0.855
35530140,Ontario,760,4,0.434,3,-0.43,2,-0.394,5,0.88
35530141,Ontario,885,4,0.424,3,-0.443,4,0.525,5,0.842
